Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channels,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
"Sean Paul","(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version","Only Hits",compilation,0.711,0.761,-3.04,0.225,0.067,0,0.041,0.718,95.824,4.064666667,"Sean Paul - Give It Up To Me (feat. Keyshia Cole) [Disney Version] (Official Video)","Atlantic Records",306887054,1317175,17399,TRUE,TRUE,51339097,18.56097561,Youtube
"Sean Paul","I'm Still in Love with You (feat. Sasha)","Dutty Rock (20th Anniversary)",album,0.765,0.666,-5.384,0.172,0.103,0,0.116,0.757,87.002,4.556,"Sean Paul - I'm Still In Love With You (Official Video)","Atlantic Records",314611933,2018040,29163,TRUE,TRUE,176824685,5.74137931,Youtube
"Sean Paul",UP,UP,single,0.812,0.712,-5.993,0.0452,0.01,0,0.108,0.85,98.029,2.4824,"INNA x Sean Paul - Up (Official Video)",INNA,81787112,668740,12932,TRUE,TRUE,47517159,6.592592593,Youtube
"Sean Paul","Contra La Pared","Contra La Pared",single,0.828,0.588,-7.14,0.118,0.0156,0,0.124,0.598,94.052,3.744683333,"Sean Paul, J Balvin - Contra La Pared",SeanPaulVEVO,256405663,1928933,20224,TRUE,TRUE,336056798,4.741935484,Spotify
"Elvis Presley","Can't Help Falling in Love","Blue Hawaii",album,0.396,0.293,-14.062,0.0275,0.941,0.000196,0.105,0.343,100.307,3.039333333,"Elvis Presley - Can't Help Falling In Love (Official Audio)",ElvisPresleyVEVO,363854960,3486602,125337,TRUE,TRUE,642724292,2.79047619,Spotify
"Elvis Presley","Blue Christmas","Elvis' Christmas Album",album,0.465,0.27,-16.661,0.0425,0.9,0.00104,0.145,0.58,94.518,2.152883333,"Elvis Presley, Martina McBride - Blue Christmas (Official HD Video)",ElvisPresleyVEVO,46348788,209579,7591,TRUE,TRUE,293604060,1.862068966,Spotify
"Elvis Presley","Here Comes Santa Claus (Right Down Santa Claus Lane)","Elvis' Christmas Album",album,0.575,0.236,-16.982,0.0422,0.968,0.0178,0.105,0.829,79.576,1.93045,"Here Comes Santa Claus (Right Down Santa Claus Lane) (Official Lyric Video)",ElvisPresleyVEVO,282465,4533,155,TRUE,TRUE,115786722,2.247619048,Spotify
"Elvis Presley","Suspicious Minds","From Elvis in Memphis",album,0.487,0.382,-10.889,0.0309,0.0422,0.00000474,0.411,0.714,116.557,4.354666667,"Elvis Presley - Suspicious Minds (Official Music Video)",ElvisPresleyVEVO,7484414,84407,1872,TRUE,TRUE,355940570,0.929440389,Spotify
"Elvis Presley","Burning Love","Elvis (Fool)",album,0.66,0.748,-11.206,0.0284,0.0993,0.00585,0.283,0.972,143.549,2.838216667,"Elvis Presley - Burning Love (Official Music Video)",ElvisPresleyVEVO,3649438,17369,811,TRUE,TRUE,217996516,2.643109541,Spotify
"Elvis Presley","Always On My Mind","Elvis (Fool)",album,0.358,0.387,-14.342,0.0324,0.746,0.0121,0.119,0.495,181.183,3.640666667,"Elvis Presley - Always On My Mind","Amelia Hops",12982178,152547,3757,FALSE,FALSE,126445901,3.25210084,Spotify
"Elvis Presley","If I Can Dream","ELVIS (Original Motion Picture Soundtrack)",album,0.325,0.715,-7.744,0.0368,0.00708,0.0000279,0.0987,0.282,93.914,3.197333333,"Elvis Presley - If I Can Dream ('68 Comeback Special)",ElvisPresleyVEVO,43935538,374007,22080,TRUE,TRUE,19601041,7.244174265,Youtube
"Elvis Presley","Jailhouse Rock","Platinum - A Life In Music",album,0.623,0.537,-10.014,0.0726,0.332,0.000014,0.0963,0.905,166.885,2.448883333,"Elvis Presley - Jailhouse Rock (Music Video)",y,242588704,1868278,53891,FALSE,TRUE,362889100,5.576323988,Spotify
"Elvis Presley","In the Ghetto","From Elvis in Memphis",album,0.404,0.266,-16.688,0.0334,0.716,0.133,0.107,0.491,88.916,2.790216667,"Elvis Presley - In The Ghetto (Music Video) (1969)",gaaronpresley,8647838,0,2484,FALSE,FALSE,138978979,2.485981308,Spotify
"Elvis Presley","(You're The) Devil in Disguise","Elvis 30 #1 Hits (Expanded Edition)",album,0.481,0.733,-7.633,0.165,0.573,0.0000117,0.108,0.874,122.903,2.34045,"Elvis Presley - (You're The) Devil In Disguise (Official Animated Video)",ElvisPresleyVEVO,14332854,370274,4350,TRUE,TRUE,107417556,6.787037037,Spotify
2Pac,"Hit 'Em Up - Single Version","Greatest Hits",compilation,0.916,0.844,-3.967,0.236,0.0394,0,0.0778,0.586,95.19,5.21045,"2Pac - Hit 'Em Up (Dirty) (Music Video) HD","Seven Hip-Hop",585712131,4363164,208460,FALSE,FALSE,375955728,10.84832905,Youtube
2Pac,"Ambitionz Az A Ridah","All Eyez On Me",album,0.801,0.91,-6.566,0.225,0.00239,0.000891,0.0737,0.805,87.277,4.639783333,"2pac - Ambitionz Az A Ridah (MUSIC VIDEO)","Makaveli 'G",89682,1301,41,FALSE,FALSE,578493150,12.34735414,Spotify
2Pac,"California Love - Original Version","Greatest Hits",compilation,0.763,0.85,-3.052,0.0417,0.0304,0.00000121,0.371,0.761,91.519,4.74845,"2Pac ft. Dr. Dre - California Love (Official Video) [Full Length Version]","UPROXX Video",84654029,484619,12875,FALSE,FALSE,497213287,2.291105121,Spotify
2Pac,"All Eyez On Me (ft. Big Syke)","All Eyez On Me",album,0.872,0.723,-5.968,0.247,0.0293,0,0.327,0.843,93.279,5.12955,"2Pac - All Eyez On Me Ft. Big Syke (Nozzy-E Remix) (Prod By Beat Brothers) 2019",Nozzy-E,14035099,64269,1918,FALSE,TRUE,428728611,2.211009174,Spotify
